PERMNO,date,TICKER,RET,RETX
86453,02/04/2019,XLY,-0.000174,-0.000174
86453,03/04/2019,XLY,0.007039,0.007039
86453,04/04/2019,XLY,0.008111,0.008111
86453,05/04/2019,XLY,0.005906,0.005906
86453,08/04/2019,XLY,0.003574,0.003574
86453,09/04/2019,XLY,-0.008988,-0.008988
86453,10/04/2019,XLY,0.004791,0.004791
86453,11/04/2019,XLY,0.001277,0.001277
86453,12/04/2019,XLY,0.006208,0.006208
86453,15/04/2019,XLY,0.002028,0.002028
86453,16/04/2019,XLY,0.004386,0.004386
86453,17/04/2019,XLY,0.001931,0.001931
86453,18/04/2019,XLY,-0.000335,-0.000335
86453,22/04/2019,XLY,-0.003773,-0.003773
86453,23/04/2019,XLY,0.011951,0.011951
86453,24/04/2019,XLY,0.000915,0.000915
86453,25/04/2019,XLY,-0.005235,-0.005235
86453,26/04/2019,XLY,0.007935,0.007935
86453,29/04/2019,XLY,-0.003481,-0.003481
86453,30/04/2019,XLY,-0.001497,-0.001497
86453,01/05/2019,XLY,-0.012160,-0.012160
86453,02/05/2019,XLY,0.000759,0.000759
86453,03/05/2019,XLY,0.011794,0.011794
86453,06/05/2019,XLY,-0.006078,-0.006078
86453,07/05/2019,XLY,-0.015163,-0.015163
86453,08/05/2019,XLY,0.000340,0.000340
86453,09/05/2019,XLY,-0.004082,-0.004082
86453,10/05/2019,XLY,0.001451,0.001451
86453,13/05/2019,XLY,-0.029755,-0.029755
86453,14/05/2019,XLY,0.010105,0.010105
86453,15/05/2019,XLY,0.006786,0.006786
86453,16/05/2019,XLY,0.009246,0.009246
86453,17/05/2019,XLY,-0.007620,-0.007620
86453,20/05/2019,XLY,-0.007075,-0.007075
86453,21/05/2019,XLY,0.006951,0.006951
86453,22/05/2019,XLY,-0.010268,-0.010268
86453,23/05/2019,XLY,-0.012380,-0.012380
86453,24/05/2019,XLY,0.001324,0.001324
86453,28/05/2019,XLY,-0.006612,-0.006612
86453,29/05/2019,XLY,-0.008875,-0.008875
86453,30/05/2019,XLY,0.006537,0.006537
86453,31/05/2019,XLY,-0.013077,-0.013077
86453,03/06/2019,XLY,-0.008383,-0.008383
86453,04/06/2019,XLY,0.027088,0.027088
86453,05/06/2019,XLY,0.004956,0.004956
86453,06/06/2019,XLY,0.005108,0.005108
86453,07/06/2019,XLY,0.014457,0.014457
86453,10/06/2019,XLY,0.008464,0.008464
86453,11/06/2019,XLY,0.003854,0.003854
86453,12/06/2019,XLY,-0.000256,-0.000256
86453,13/06/2019,XLY,0.008961,0.008961
86453,14/06/2019,XLY,0.002199,0.002199
86453,17/06/2019,XLY,0.000422,0.000422
86453,18/06/2019,XLY,0.007592,0.007592
86453,19/06/2019,XLY,0.001842,0.001842
86453,20/06/2019,XLY,0.006936,0.006936
86453,21/06/2019,XLY,-0.004616,-0.008050
86453,24/06/2019,XLY,-0.005355,-0.005355
86453,25/06/2019,XLY,-0.009589,-0.009589
86453,26/06/2019,XLY,0.003227,0.003227
86453,27/06/2019,XLY,0.006265,0.006265
86453,28/06/2019,XLY,0.002860,0.002860
86453,01/07/2019,XLY,0.008809,0.008809
86453,02/07/2019,XLY,0.002162,0.002162
86453,03/07/2019,XLY,0.008713,0.008713
86453,05/07/2019,XLY,0.001152,0.001152
86453,08/07/2019,XLY,0.001233,0.001233
86453,09/07/2019,XLY,0.001067,0.001067
86453,10/07/2019,XLY,0.003607,0.003607
86453,11/07/2019,XLY,0.002042,0.002042
86453,12/07/2019,XLY,0.011494,0.011494
86453,15/07/2019,XLY,0.003224,0.003224
86453,16/07/2019,XLY,-0.001285,-0.001285
86453,17/07/2019,XLY,-0.009572,-0.009572
86453,18/07/2019,XLY,-0.001299,-0.001299
86453,19/07/2019,XLY,-0.006587,-0.006587
86453,22/07/2019,XLY,0.000573,0.000573
86453,23/07/2019,XLY,0.006790,0.006790
86453,24/07/2019,XLY,0.005038,0.005038
86453,25/07/2019,XLY,-0.005579,-0.005579
86453,26/07/2019,XLY,0.004553,0.004553
86453,29/07/2019,XLY,-0.004856,-0.004856
86453,30/07/2019,XLY,-0.006751,-0.006751
86453,31/07/2019,XLY,-0.011464,-0.011464
86453,01/08/2019,XLY,-0.013585,-0.013585
86453,02/08/2019,XLY,-0.008230,-0.008230
86453,05/08/2019,XLY,-0.026842,-0.026842
86453,06/08/2019,XLY,0.015227,0.015227
86453,07/08/2019,XLY,0.004028,0.004028
86453,08/08/2019,XLY,0.019292,0.019292
86453,09/08/2019,XLY,-0.009379,-0.009379
86453,12/08/2019,XLY,-0.014541,-0.014541
86453,13/08/2019,XLY,0.016471,0.016471
86453,14/08/2019,XLY,-0.031311,-0.031311
86453,15/08/2019,XLY,-0.001655,-0.001655
86453,16/08/2019,XLY,0.011345,0.011345
86453,19/08/2019,XLY,0.012598,0.012598
86453,20/08/2019,XLY,0.000256,0.000256
86453,21/08/2019,XLY,0.019254,0.019254
86453,22/08/2019,XLY,0.000251,0.000251
86453,23/08/2019,XLY,-0.026573,-0.026573
86453,26/08/2019,XLY,0.009872,0.009872
86453,27/08/2019,XLY,-0.004930,-0.004930
86453,28/08/2019,XLY,0.012472,0.012472
86453,29/08/2019,XLY,0.015019,0.015019
86453,30/08/2019,XLY,-0.005985,-0.005985
86453,03/09/2019,XLY,-0.004098,-0.004098
86453,04/09/2019,XLY,0.009908,0.009908
86453,05/09/2019,XLY,0.019124,0.019124
86453,06/09/2019,XLY,0.002448,0.002448
86453,09/09/2019,XLY,0.003825,0.003825
86453,10/09/2019,XLY,-0.003973,-0.003973
86453,11/09/2019,XLY,0.001872,0.001872
86453,12/09/2019,XLY,0.004794,0.004794
86453,13/09/2019,XLY,-0.002022,-0.002022
86453,16/09/2019,XLY,-0.012802,-0.012802
86453,17/09/2019,XLY,0.006074,0.006074
86453,18/09/2019,XLY,-0.000490,-0.000490
86453,19/09/2019,XLY,-0.002693,-0.002693
86453,20/09/2019,XLY,-0.011422,-0.014731
86453,23/09/2019,XLY,0.003489,0.003489
86453,24/09/2019,XLY,-0.010678,-0.010678
86453,25/09/2019,XLY,0.009120,0.009120
86453,26/09/2019,XLY,-0.004311,-0.004311
86453,27/09/2019,XLY,-0.003497,-0.003497
86453,30/09/2019,XLY,0.008607,0.008607
86453,01/10/2019,XLY,-0.008368,-0.008368
86453,02/10/2019,XLY,-0.017963,-0.017963
86453,03/10/2019,XLY,0.004849,0.004849
86453,04/10/2019,XLY,0.009398,0.009398
86453,07/10/2019,XLY,-0.004362,-0.004362
86453,08/10/2019,XLY,-0.010531,-0.010531
86453,09/10/2019,XLY,0.008514,0.008514
86453,10/10/2019,XLY,0.006669,0.006669
86453,11/10/2019,XLY,0.011322,0.011322
86453,14/10/2019,XLY,-0.000498,-0.000498
86453,15/10/2019,XLY,0.008794,0.008794
86453,16/10/2019,XLY,0.004112,0.004112
86453,17/10/2019,XLY,0.002621,0.002621
86453,18/10/2019,XLY,-0.001961,-0.001961
86453,21/10/2019,XLY,0.003520,0.003520
86453,22/10/2019,XLY,-0.006362,-0.006362
86453,23/10/2019,XLY,-0.004597,-0.004597
86453,24/10/2019,XLY,-0.000495,-0.000495
86453,25/10/2019,XLY,-0.001155,-0.001155
86453,28/10/2019,XLY,0.003139,0.003139
86453,29/10/2019,XLY,-0.005682,-0.005682
86453,30/10/2019,XLY,0.006211,0.006211
86453,31/10/2019,XLY,-0.005350,-0.005350
86453,01/11/2019,XLY,0.006620,0.006620
86453,04/11/2019,XLY,0.000493,0.000493
86453,05/11/2019,XLY,0.001479,0.001479
86453,06/11/2019,XLY,0.001067,0.001067
86453,07/11/2019,XLY,-0.005983,-0.005983
86453,08/11/2019,XLY,0.000412,0.000412
86453,11/11/2019,XLY,-0.002060,-0.002060
86453,12/11/2019,XLY,-0.000661,-0.000661
86453,13/11/2019,XLY,-0.003140,-0.003140
86453,14/11/2019,XLY,0.004311,0.004311
86453,15/11/2019,XLY,0.001816,0.001816
86453,18/11/2019,XLY,0.003460,0.003460
86453,19/11/2019,XLY,-0.011003,-0.011003
86453,20/11/2019,XLY,-0.002325,-0.002325
86453,21/11/2019,XLY,-0.005659,-0.005659
86453,22/11/2019,XLY,0.006862,0.006862
86453,25/11/2019,XLY,0.008811,0.008811
86453,26/11/2019,XLY,0.006839,0.006839
86453,27/11/2019,XLY,0.008592,0.008592
86453,29/11/2019,XLY,-0.006491,-0.006491
86453,02/12/2019,XLY,-0.008248,-0.008248
86453,03/12/2019,XLY,-0.010046,-0.010046
86453,04/12/2019,XLY,0.005573,0.005573
86453,05/12/2019,XLY,-0.000993,-0.000993
86453,06/12/2019,XLY,0.008032,0.008032
86453,09/12/2019,XLY,0.001232,0.001232
86453,10/12/2019,XLY,-0.001723,-0.001723
86453,11/12/2019,XLY,0.002548,0.002548
86453,12/12/2019,XLY,0.008771,0.008771
86453,13/12/2019,XLY,0.000894,0.000894
86453,16/12/2019,XLY,0.004384,0.004384
86453,17/12/2019,XLY,0.004446,0.004446
86453,18/12/2019,XLY,0.000966,0.000966
86453,19/12/2019,XLY,0.003136,0.003136
86453,20/12/2019,XLY,0.001521,-0.001763
86453,23/12/2019,XLY,-0.002328,-0.002328
86453,24/12/2019,XLY,0.002253,0.002253
86453,26/12/2019,XLY,0.012205,0.012205
86453,27/12/2019,XLY,-0.000079,-0.000079
86453,30/12/2019,XLY,-0.006426,-0.006426
86453,31/12/2019,XLY,0.001437,0.001437
86453,02/01/2020,XLY,0.011880,0.011880
86453,03/01/2020,XLY,-0.008510,-0.008510
86453,06/01/2020,XLY,0.002782,0.002782
86453,07/01/2020,XLY,-0.001585,-0.001585
86453,08/01/2020,XLY,0.003016,0.003016
86453,09/01/2020,XLY,0.005302,0.005302
86453,10/01/2020,XLY,-0.005432,-0.005432
86453,13/01/2020,XLY,0.003166,0.003166
86453,14/01/2020,XLY,-0.000316,-0.000316
86453,15/01/2020,XLY,-0.002289,-0.002289
86453,16/01/2020,XLY,0.008939,0.008939
86453,17/01/2020,XLY,0.003528,0.003528
86453,21/01/2020,XLY,-0.003047,-0.003047
86453,22/01/2020,XLY,-0.000470,-0.000470
86453,23/01/2020,XLY,0.001490,0.001490
86453,24/01/2020,XLY,-0.013936,-0.013936
86453,27/01/2020,XLY,-0.014927,-0.014927
86453,28/01/2020,XLY,0.009753,0.009753
86453,29/01/2020,XLY,-0.000559,-0.000559
86453,30/01/2020,XLY,-0.001677,-0.001677
86453,31/01/2020,XLY,0.002560,0.002560
86453,03/02/2020,XLY,0.007102,0.007102
86453,04/02/2020,XLY,0.018224,0.018224
86453,05/02/2020,XLY,0.005058,0.005058
86453,06/02/2020,XLY,-0.002245,-0.002245
86453,07/02/2020,XLY,-0.004345,-0.004345
86453,10/02/2020,XLY,0.011301,0.011301
86453,11/02/2020,XLY,0.007861,0.007861
86453,12/02/2020,XLY,0.010246,0.010246
86453,13/02/2020,XLY,-0.001741,-0.001741
86453,14/02/2020,XLY,-0.001516,-0.001516
86453,18/02/2020,XLY,-0.000076,-0.000076
86453,19/02/2020,XLY,0.004481,0.004481
86453,20/02/2020,XLY,0.000378,0.000378
86453,21/02/2020,XLY,-0.015266,-0.015266
86453,24/02/2020,XLY,-0.034382,-0.034382
86453,25/02/2020,XLY,-0.026705,-0.026705
86453,26/02/2020,XLY,-0.007921,-0.007921
86453,27/02/2020,XLY,-0.040415,-0.040415
86453,28/02/2020,XLY,-0.006433,-0.006433
86453,02/03/2020,XLY,0.034361,0.034361
86453,03/03/2020,XLY,-0.024205,-0.024205
86453,04/03/2020,XLY,0.034556,0.034556
86453,05/03/2020,XLY,-0.037288,-0.037288
86453,06/03/2020,XLY,-0.015373,-0.015373
86453,09/03/2020,XLY,-0.062974,-0.062974
86453,10/03/2020,XLY,0.055292,0.055292
86453,11/03/2020,XLY,-0.054688,-0.054688
86453,12/03/2020,XLY,-0.101054,-0.101054
86453,13/03/2020,XLY,0.061864,0.061864
86453,16/03/2020,XLY,-0.126686,-0.126686
86453,17/03/2020,XLY,0.038505,0.038505
86453,18/03/2020,XLY,-0.057448,-0.057448
86453,19/03/2020,XLY,0.034877,0.034877
86453,20/03/2020,XLY,-0.029724,-0.029724
86453,23/03/2020,XLY,0.001636,-0.003189
86453,24/03/2020,XLY,0.093796,0.093796
86453,25/03/2020,XLY,0.017548,0.017548
86453,26/03/2020,XLY,0.041367,0.041367
86453,27/03/2020,XLY,-0.033514,-0.033514
86453,30/03/2020,XLY,0.020908,0.020908
86453,31/03/2020,XLY,-0.020180,-0.020180
86453,01/04/2020,XLY,-0.044657,-0.044657
86453,02/04/2020,XLY,0.003735,0.003735
86453,03/04/2020,XLY,-0.017438,-0.017438
86453,06/04/2020,XLY,0.083216,0.083216
86453,07/04/2020,XLY,0.014885,0.014885
86453,08/04/2020,XLY,0.031499,0.031499
86453,09/04/2020,XLY,0.018036,0.018036
86453,13/04/2020,XLY,-0.000281,-0.000281
86453,14/04/2020,XLY,0.039100,0.039100
86453,15/04/2020,XLY,-0.021927,-0.021927
86453,16/04/2020,XLY,0.011994,0.011994
86453,17/04/2020,XLY,0.029538,0.029538
86453,20/04/2020,XLY,-0.017444,-0.017444
86453,21/04/2020,XLY,-0.025955,-0.025955
86453,22/04/2020,XLY,0.021558,0.021558
86453,23/04/2020,XLY,-0.000272,-0.000272
86453,24/04/2020,XLY,0.016942,0.016942
86453,27/04/2020,XLY,0.018708,0.018708
86453,28/04/2020,XLY,0.003935,0.003935
86453,29/04/2020,XLY,0.022038,0.022038
86453,30/04/2020,XLY,-0.006222,-0.006222
86453,01/05/2020,XLY,-0.037393,-0.037393
86453,04/05/2020,XLY,0.005435,0.005435
86453,05/05/2020,XLY,0.003633,0.003633
86453,06/05/2020,XLY,-0.000177,-0.000177
86453,07/05/2020,XLY,0.015719,0.015719
86453,08/05/2020,XLY,0.019475,0.019475
86453,11/05/2020,XLY,-0.002217,-0.002217
86453,12/05/2020,XLY,-0.021880,-0.021880
86453,13/05/2020,XLY,-0.017214,-0.017214
86453,14/05/2020,XLY,0.014937,0.014937
86453,15/05/2020,XLY,0.011651,0.011651
86453,18/05/2020,XLY,0.037842,0.037842
86453,19/05/2020,XLY,-0.003588,-0.003588
86453,20/05/2020,XLY,0.013063,0.013063
86453,21/05/2020,XLY,0.003554,0.003554
86453,22/05/2020,XLY,-0.001483,-0.001483
86453,26/05/2020,XLY,0.015838,0.015838
86453,27/05/2020,XLY,0.017134,0.017134
86453,28/05/2020,XLY,-0.012135,-0.012135
86453,29/05/2020,XLY,0.003637,0.003637
86453,01/06/2020,XLY,0.009502,0.009502
86453,02/06/2020,XLY,0.008535,0.008535
86453,03/06/2020,XLY,0.018902,0.018902
86453,04/06/2020,XLY,-0.005045,-0.005045
86453,05/06/2020,XLY,0.023951,0.023951
86453,08/06/2020,XLY,0.015238,0.015238
86453,09/06/2020,XLY,-0.007805,-0.007805
86453,10/06/2020,XLY,-0.009379,-0.009379
86453,11/06/2020,XLY,-0.052378,-0.052378
86453,12/06/2020,XLY,0.009911,0.009911
86453,15/06/2020,XLY,0.009494,0.009494
86453,16/06/2020,XLY,0.021023,0.021023
86453,17/06/2020,XLY,-0.002632,-0.002632
86453,18/06/2020,XLY,-0.003648,-0.003648
86453,19/06/2020,XLY,-0.007789,-0.007789
86453,22/06/2020,XLY,0.010253,0.007929
86453,23/06/2020,XLY,0.007867,0.007867
86453,24/06/2020,XLY,-0.022025,-0.022025
86453,25/06/2020,XLY,0.001343,0.001343
86453,26/06/2020,XLY,-0.023438,-0.023438
86453,29/06/2020,XLY,0.018990,0.018990
86453,30/06/2020,XLY,0.012768,0.012768
86453,01/07/2020,XLY,0.010101,0.010101
86453,02/07/2020,XLY,0.003953,0.003953
86453,06/07/2020,XLY,0.023705,0.023705
86453,07/07/2020,XLY,-0.015689,-0.015689
86453,08/07/2020,XLY,0.010651,0.010651
86453,09/07/2020,XLY,-0.001137,-0.001137
86453,10/07/2020,XLY,0.011917,0.011917
86453,13/07/2020,XLY,-0.012677,-0.012677
86453,14/07/2020,XLY,0.009953,0.009953
86453,15/07/2020,XLY,0.014293,0.014293
86453,16/07/2020,XLY,-0.002670,-0.002670
86453,17/07/2020,XLY,-0.004685,-0.004685
86453,20/07/2020,XLY,0.015989,0.015989
86453,21/07/2020,XLY,0.001544,0.001544
86453,22/07/2020,XLY,0.008591,0.008591
86453,23/07/2020,XLY,-0.014997,-0.014997
86453,24/07/2020,XLY,0.001774,0.001774
86453,27/07/2020,XLY,0.006198,0.006198
86453,28/07/2020,XLY,-0.009899,-0.009899
